Detectado,Acuracia
tvmonitor, 0.5788
person, 0.9961
chair, 0.9371
backpack, 0.7596
bottle, 0.7096
tvmonitor, 0.5690
bed, 0.5539
person, 0.9975
chair, 0.9573
backpack, 0.7850
cup, 0.5689
person, 0.9959
chair, 0.8811
backpack, 0.7776
person, 0.9900
chair, 0.9293
person, 0.9950
chair, 0.8982
backpack, 0.6137
bed, 0.5334
person, 0.9971
chair, 0.9300
person, 0.9982
chair, 0.9368
person, 0.9979
chair, 0.9537
bottle, 0.6202
person, 0.9985
chair, 0.9771
bed, 0.5546
person, 0.9992
chair, 0.9244
person, 0.9991
person, 0.9988
chair, 0.9518
person, 0.9992
chair, 0.9908
person, 0.9997
chair, 0.9904
person, 0.9997
chair, 0.9770
person, 0.9997
chair, 0.9834
person, 0.9998
chair, 0.9896
person, 0.9998
chair, 0.9856
person, 0.9553
bed, 0.9061
chair, 0.8836
chair, 0.9909
bed, 0.8525
person, 0.7911
chair, 0.9702
bed, 0.8815
person, 0.6782
chair, 0.9855
bed, 0.8361
bed, 0.9521
chair, 0.8367
chair, 0.9177
sofa, 0.6432
cat, 0.5272
chair, 0.9605
bed, 0.7338
chair, 0.9543
cat, 0.5080
chair, 0.9527
bed, 0.6091
chair, 0.9644
chair, 0.9694
backpack, 0.5158
chair, 0.9679
cat, 0.7501
bed, 0.5742
chair, 0.9736
chair, 0.8513
bed, 0.8420
cat, 0.6213
chair, 0.9592
bed, 0.7469
cat, 0.5499
chair, 0.9504
cat, 0.8394
sofa, 0.7096
chair, 0.7424
sofa, 0.7406
chair, 0.9083
cat, 0.7395
sofa, 0.6459
dog, 0.6125
chair, 0.9351
dog, 0.7383
sofa, 0.5554
backpack, 0.5131
cat, 0.9135
chair, 0.8814
chair, 0.9609
cat, 0.8121
cat, 0.9767
chair, 0.9268
dog, 0.7091
chair, 0.8813
cat, 0.6737
chair, 0.5324
chair, 0.9582
cat, 0.7860
chair, 0.9524
cat, 0.8017
chair, 0.9458
cat, 0.8436
chair, 0.9621
cat, 0.7303
backpack, 0.6876
chair, 0.9285
dog, 0.6566
cat, 0.5508
chair, 0.9115
cat, 0.8211
dog, 0.8086
chair, 0.8870
dog, 0.8514
chair, 0.8488
cat, 0.6543
cat, 0.9617
chair, 0.8258
cat, 0.8903
chair, 0.8421
cat, 0.9219
chair, 0.8272
cat, 0.9150
chair, 0.7556
dog, 0.5928
chair, 0.8684
cat, 0.7247
cat, 0.5151
dog, 0.5003
person, 0.8714
person, 0.9972
person, 0.9852
person, 0.9945
person, 0.9896
person, 0.9846
person, 0.9957
person, 0.9881
tvmonitor, 0.6493
person, 0.9885
tvmonitor, 0.7277
person, 0.9928
tvmonitor, 0.5585
person, 0.9921
tvmonitor, 0.7676
person, 0.9907
tvmonitor, 0.7596
person, 0.9646
person, 0.9587
person, 0.9811
tvmonitor, 0.8288
tvmonitor, 0.8782
cup, 0.7725
tvmonitor, 0.9638
cup, 0.9604
spoon, 0.8348
tvmonitor, 0.9789
spoon, 0.8470
spoon, 0.8845
spoon, 0.8681
tvmonitor, 0.7701
spoon, 0.7961
spoon, 0.8443
spoon, 0.9226
spoon, 0.8328
cup, 0.5012
spoon, 0.8180
tvmonitor, 0.7349
spoon, 0.7105
spoon, 0.7211
tvmonitor, 0.5745
spoon, 0.8910
tvmonitor, 0.7493
spoon, 0.6811
tvmonitor, 0.5231
book, 0.5008
tvmonitor, 0.9628
keyboard, 0.8237
tvmonitor, 0.9185
mouse, 0.8199
keyboard, 0.7315
cup, 0.6830
tvmonitor, 0.9872
mouse, 0.9829
keyboard, 0.7272
cup, 0.6835
tvmonitor, 0.6808
tvmonitor, 0.9954
cup, 0.9373
tvmonitor, 0.7343
remote, 0.6004
tvmonitor, 0.9943
mouse, 0.9886
tvmonitor, 0.9762
keyboard, 0.9315
cup, 0.9243
tvmonitor, 0.9953
mouse, 0.9718
tvmonitor, 0.9495
cup, 0.7467
bottle, 0.6659
keyboard, 0.5809
mouse, 0.9957
tvmonitor, 0.9947
tvmonitor, 0.9470
keyboard, 0.9176
bottle, 0.9159
cup, 0.8562
tvmonitor, 0.9969
tvmonitor, 0.9535
mouse, 0.9477
bottle, 0.9205
keyboard, 0.8884
cup, 0.8314
tvmonitor, 0.9978
mouse, 0.9898
bottle, 0.8893
keyboard, 0.8871
tvmonitor, 0.8788
cup, 0.8064
tvmonitor, 0.9976
mouse, 0.9948
keyboard, 0.9530
bottle, 0.9314
tvmonitor, 0.8375
cup, 0.6000
tvmonitor, 0.9972
mouse, 0.9953
keyboard, 0.9951
tvmonitor, 0.9365
bottle, 0.9214
cup, 0.7458
tvmonitor, 0.9980
keyboard, 0.9935
mouse, 0.9774
tvmonitor, 0.9243
cup, 0.9064
bottle, 0.8616
tvmonitor, 0.9985
mouse, 0.9847
keyboard, 0.9650
bottle, 0.9179
tvmonitor, 0.9014
cup, 0.6806
tvmonitor, 0.9991
mouse, 0.9814
keyboard, 0.9677
tvmonitor, 0.9416
cup, 0.9086
bottle, 0.8724
mouse, 0.7040
tvmonitor, 0.9984
mouse, 0.9869
bottle, 0.9789
keyboard, 0.9786
tvmonitor, 0.9502
cup, 0.8405
tvmonitor, 0.9988
mouse, 0.9749
bottle, 0.9562
tvmonitor, 0.9044
keyboard, 0.8624
cup, 0.8596
mouse, 0.5374
tvmonitor, 0.9989
mouse, 0.9709
tvmonitor, 0.9671
bottle, 0.9587
keyboard, 0.9581
cup, 0.9304
tvmonitor, 0.9984
mouse, 0.9839
bottle, 0.9815
keyboard, 0.9792
cup, 0.9549
tvmonitor, 0.9393
tvmonitor, 0.9989
bottle, 0.9678
keyboard, 0.9428
tvmonitor, 0.9235
mouse, 0.9014
tvmonitor, 0.9994
keyboard, 0.9882
mouse, 0.9793
tvmonitor, 0.9716
bottle, 0.9689
cup, 0.5179
tvmonitor, 0.9990
bottle, 0.9627
tvmonitor, 0.9548
keyboard, 0.9291
mouse, 0.8817
cup, 0.6074
tvmonitor, 0.9986
bottle, 0.9731
mouse, 0.9725
tvmonitor, 0.9508
keyboard, 0.9354
tvmonitor, 0.9990
mouse, 0.9887
bottle, 0.9764
keyboard, 0.9686
cup, 0.9290
tvmonitor, 0.8981
tvmonitor, 0.9971
bottle, 0.9853
tvmonitor, 0.9641
keyboard, 0.9423
mouse, 0.9360
tvmonitor, 0.9984
bottle, 0.9894
keyboard, 0.9884
mouse, 0.9804
tvmonitor, 0.9565
cup, 0.8460
tvmonitor, 0.9976
mouse, 0.9914
bottle, 0.9892
keyboard, 0.9835
tvmonitor, 0.9590
cup, 0.9010
tvmonitor, 0.9985
keyboard, 0.9945
mouse, 0.9884
bottle, 0.9734
